key,name,Completed,Studied 100% TC,completed in time,completed to 100%,Date Last Visited
787,Cheapest Flights Within K Stops,FALSE,,,,
621,Task Scheduler,FALSE,,,,
207,Course Schedule,FALSE,,,,
1615,Maximal Network Rank,FALSE,,,,
450,Delete Node in a BST,FALSE,,,,
133,Clone Graph,FALSE,TRUE,FALSE,FALSE,2026/07/19
347,Top K Frequent Elements,FALSE,,,,
973,K Closest Points to Origin,FALSE,,,,
215,Kth Largest Element in an Array,FALSE,TRUE,FALSE,FALSE,2026/07/19
2374,Node With Highest Edge Score,FALSE,,,,
230,Kth Smallest Element in a BST,FALSE,,,,
1382,Balance a Binary Search Tree,FALSE,,,,
530,Minimum Absolute Difference in BST,FALSE,,,,
653,Two Sum IV - Input is a BST,FALSE,,,,
236,Lowest Common Ancestor of a Binary Tree,FALSE,,,,
543,Diameter of Binary Tree,FALSE,,,,
112,Path Sum,FALSE,,,,
235,Lowest Common Ancestor of a Binary Search Tree,FALSE,,,,
FALSE,FALSE,FALSE,,,,
701,Insert into a Binary Search Tree,FALSE,,,,
700,Search in a Binary Search Tree,FALSE,,,,
226,Invert Binary Tree,FALSE,,,,
100,Same Tree,FALSE,,,,
102,Binary Tree Level Order Traversal,FALSE,,,,
104,Maximum Depth of Binary Tree,FALSE,,,,
111,Minimum Depth of Binary Tree,FALSE,,,,
2073,Time Needed to Buy Tickets,FALSE,,,,
92,Reverse Linked List II,FALSE,,,,
637,Average of Levels in Binary Tree,FALSE,,,,
912,Sort an Array,FALSE,,,,
20,Valid Parentheses,FALSE,,,,
21,Merge Two Sorted Lists,FALSE,,,,
225,Implement Stack using Queues,FALSE,,,,
203,Remove Linked List Elements,FALSE,,,,
206,Reverse Linked List,FALSE,,,,
150,Evaluate Reverse Polish Notation,FALSE,,,,
155,Min Stack,FALSE,,,,
234,Palindrome Linked List,FALSE,,,,
46,Permutations,FALSE,,,,
141,Linked List Cycle,FALSE,,,,
876,Middle of the Linked List,FALSE,,,,
78,Subsets,FALSE,,,,
77,Combinations,FALSE,,,,
784,Letter Case Permutation,FALSE,,,,
303,Range Sum Query - Immutable,FALSE,,,,
338,Counting Bits,FALSE,,,,
53,Maximum Subarray,FALSE,,,,
70,Climbing Stairs,FALSE,,,,
322,Coin Change,FALSE,,,,
209,Minimum Size Subarray Sum,FALSE,,,,
136,Single Number,FALSE,TRUE,FALSE,FALSE,2026/08/04
15,3Sum,FALSE,,,,
200,Number of Islands,FALSE,,,,
219,Contains Duplicate II,FALSE,,,,
1200,Minimum Absolute Difference,FALSE,,,,
54,Spiral Matrix,FALSE,,,,
845,Longest Mountain in Array,FALSE,,,,
977,Squares of a Sorted Array,FALSE,,,,
121,Best Time to Buy and Sell Stock,FALSE,,,,
1266,Minimum Time Visiting All Points,FALSE,,,,
1365,How Many Numbers Are Smaller Than the Current Number,FALSE,,,,
1,Two Sum,FALSE,,,,
268,Missing Number,FALSE,,,,
448,Find All Numbers Disappeared in an Array,FALSE,,,,
217,Contains Duplicate,FALSE,,,,
25,Reverse Nodes in k-Group,FALSE,,,,
24,Swap Nodes in Pairs,FALSE,,,,
515,Find Largest Value in Each Tree Row,FALSE,,,,
230,Kth Smallest Element in a BST,FALSE,,,,
